ID	Name	Host	Group	Collapse
GCA_003117195.1	Eudorina sp. 2006-703-Eu-15	Chlorophyta		Chlamydomonadaceae
GCA_003573635.1	Goniomonas avonlea	Cryptophyta		
GCA_004000685.1	Mesostigma viride	Streptophyta		
GCA_004335715.1	Chlamydomonas sp. WS7	Chlorophyta		Chlamydomonadaceae
GCA_004335735.1	Chlorella sp. KRBP 19589	Chlorophyta		Chlorellaceae
GCA_004335755.1	Chlamydomonas sp. WS3	Chlorophyta		Chlamydomonadaceae
GCA_004335795.1	Chlamydomonas sp. 3222	Chlorophyta		Chlamydomonadaceae
GCA_004335865.1	Chlamydomonas sp. 3112	Chlorophyta		Chlamydomonadaceae
GCA_004335895.1	Chlamydomonas sp. AIC 3563	Chlorophyta		Chlamydomonadaceae
GCA_004764695.1	Schizochytrium sp. TIO01	Stramenopiles		Labyrinthulea
GCA_007449985.2	Desmodesmus armatus	Chlorophyta		Scenedesmaceae
GCA_008828725.1	Saccharina japonica	Stramenopiles		
GCA_009720205.1	Chlorella vulgaris	Chlorophyta		Chlorellaceae
GCA_009720215.1	Chlorella vulgaris	Chlorophyta		Chlorellaceae
GCA_012862495.1	Thraustochytrium aureum ATCC 34304	Stramenopiles		Labyrinthulea
GCA_012862575.1	Parietichytrium sp. I65-24A	Stramenopiles		Labyrinthulea
GCA_016834595.1	Chlamydomonas schloesseri	Chlorophyta		Chlamydomonadaceae
GCA_017506865.1	Tribonema minus	Stramenopiles		
GCA_018136815.1	Isochrysis galbana	Haptophyta		
GCA_018697155.1	Pyramimonas parkeae	Chlorophyta		
GCA_900088475.1	Hyphochytrium catenoides	Stramenopiles		
GCA_900108755.1	Tetradesmus obliquus	Chlorophyta		Scenedesmaceae
GCF_000247585.1	Phytophthora parasitica INRA-310	Stramenopiles		
GCF_000313135.1	Acanthamoeba castellanii	Amoebozoa		Medusavirus and Acanthamoeba castellanii copies
# GCF_000313135.1	Acanthamoeba castellanii	Amoebozoa		
Golden_Marseillevirus	Golden Marseillevirus	Amoebozoa	Marseilleviridae	Marseille-/Irido-/Ascoviridae
Han1023	Han1023	MAG		
Han1312	Han1312	MAG		
Han2744	Han2744	MAG		PLV-YSL1, Han442, Han2744, Montjoie2259
Han442	Han442	MAG		PLV-YSL1, Han442, Han2744, Montjoie2259
Han847	Han847	MAG		Han884, Han847, Soyang317, Soyang406
Han884	Han884	MAG		Han884, Han847, Soyang317, Soyang406
Harvfovirus	Harvfovirus	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Heterosigma_akashiwo_virus_01	Heterosigma akashiwo virus 01	Stramenopiles	Phycodnaviridae: Raphidovirus	
Hirudovirus_Sangsue	Hirudovirus Sangsue	Amoebozoa	Mimiviridae: Megavirinae	Mimiviridae s.s.
Hokovirus_HKV1	Hokovirus HKV1	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Homavirus	Homavirus	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Hyperionvirus	Hyperionvirus	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Indivirus_ILV1	Indivirus ILV1	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Invertebrate_iridescent_virus_3	Invertebrate iridescent virus 3	Animals	Irido+Ascoviridae	Marseille-/Irido-/Ascoviridae
Invertebrate_iridescent_virus_6	Invertebrate iridescent virus 6	Animals	Irido+Ascoviridae	Marseille-/Irido-/Ascoviridae
JGI_Astpho2	Asterochloris sp. Cgr/DA1pho	Chlorophyta		
JGI_Bigna1	Bigelowiella natans	Rhizaria		
JGI_Chrzof1	Chromochloris zofingiensis	Chlorophyta		
JGI_Cyapar1	Cyanophora paradoxa	Glaucophyta		
JGI_Guith1	Guillardia theta	Cryptophyta		
Klosneuvirus_KNV1	Klosneuvirus KNV1	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Larry	Larry	Haptophyta		
Lymphocystis_disease_virus_1	Lymphocystis disease virus 1	Animals	Irido+Ascoviridae	Marseille-/Irido-/Ascoviridae
Marseillevirus_LCMAC101	Marseillevirus LCMAC101	MAG	Marseilleviridae	Marseille-/Irido-/Ascoviridae
Marseillevirus_marseillevirus_T19	Marseillevirus marseillevirus T19	Amoebozoa	Marseilleviridae	Marseille-/Irido-/Ascoviridae
Megavirus_chiliensis	Megavirus chiliensis	Amoebozoa	Mimiviridae: Megavirinae	Mimiviridae s.s.
Micromonas_pusilla_virus_12T	Micromonas pusilla virus 12T	Chlorophyta	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Micromonas_pusilla_virus_SP1	Micromonas pusilla virus SP1	Chlorophyta	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Micromonas_sp._RCC1109_virus_MpV1	Micromonas sp. RCC1109 virus MpV1	Chlorophyta	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
MMETSP0007	Prymnesium parvum	Haptophyta		
MMETSP0008	Prymnesium parvum	Haptophyta		
MMETSP0287	Chrysochromulina rotalis	Haptophyta		
MMETSP0814	Prymnesium parvum	Haptophyta		
MMETSP0815	Prymnesium parvum	Haptophyta		
MMETSP1081	Pyramimonas amylifera	Chlorophyta		
Moe	Moe	Haptophyta		
Mollivirus_sibericum	Mollivirus sibericum	Amoebozoa	Mollivirus-Medusavirus	
Montjoie2259	Montjoie2259	MAG		PLV-YSL1, Han442, Han2744, Montjoie2259
Moumouvirus_goulette	Moumouvirus goulette	Amoebozoa	Mimiviridae: Megavirinae	Mimiviridae s.s.
mPacV-611	mPacV-611	Choanoflagellata	Mimiviridae: PPVC	Mimiviridae s.s.
